code,date,open,high,low,close
5469,29-Oct-97,1033,1108.5,1033,1107
5470,28-Oct-97,1120.6,1120.6,1028.2,1032.6
5471,27-Oct-97,1136,1136,1116,1120.8
5472,24-Oct-97,1151.45,1151.45,1122.55,1136.65
5473,23-Oct-97,1169.4,1171.05,1140.8,1151.65
5474,22-Oct-97,1175.55,1184.9,1168.3,1169.85
5475,21-Oct-97,1188.2,1192,1171.2,1174.95
5476,20-Oct-97,1177.5,1189.4,1172.05,1188.2
5477,17-Oct-97,1168.75,1181.15,1168.7,1177.8
5478,16-Oct-97,1150.45,1171.6,1150.45,1168.35
5479,15-Oct-97,1138.45,1152.65,1138.45,1150.45
5480,14-Oct-97,1156.45,1158.8,1131,1137.9
5481,13-Oct-97,1165.5,1177.5,1153.85,1156.95
5482,10-Oct-97,1135.3,1166.05,1133.6,1163.55
5483,9-Oct-97,1119.1,1135.95,1118.65,1134.55
5484,1-Oct-97,1123.45,1123.45,1102.45,1114.7
5485,30-Sep-97,1125.65,1125.65,1112.5,1123.8
5486,29-Sep-97,1124.9,1133.4,1122.6,1125.7
5487,26-Sep-97,1111.65,1122.25,1111.65,1116.1
5488,25-Sep-97,1100.85,1112.4,1098.35,1111.35
5489,24-Sep-97,1089.15,1108.15,1089.15,1100.85
5490,23-Sep-97,1084.4,1090.95,1079.6,1088.65
5491,22-Sep-97,1104.25,1104.25,1082.5,1085
5492,19-Sep-97,1109.6,1115.15,1099.6,1104.3
5493,18-Sep-97,1133.6,1133.6,1101.65,1109.35
5494,17-Sep-97,1140.3,1141.75,1132.75,1134.2
5495,16-Sep-97,1141.1,1149.25,1137.8,1140.15
5496,15-Sep-97,1142.75,1143.35,1136.3,1141
5497,12-Sep-97,1154.2,1154.2,1138.25,1142.85
5498,11-Sep-97,1154.6,1163.3,1152.55,1154.3
5499,10-Sep-97,1159,1159,1143.95,1154.55
5500,9-Sep-97,1158.3,1168.35,1154.95,1159.55
5501,8-Sep-97,1148.7,1160.85,1136.85,1158.25
5502,5-Sep-97,1137.2,1152.3,1137.2,1149.25
5503,4-Sep-97,1134.3,1138.8,1123.7,1137.15
5504,3-Sep-97,1118.45,1145.4,1118.45,1134.7
5505,2-Sep-97,1104.9,1125.85,1102.45,1117.15
5506,1-Sep-97,1105.45,1115,1097.95,1104.7
5507,29-Aug-97,1134.2,1134.2,1098.9,1105
5508,28-Aug-97,1168.4,1168.4,1132.25,1134.65
5509,27-Aug-97,1152.4,1184.85,1152.4,1168.4
5510,26-Aug-97,1144.55,1160.45,1144.05,1151.75
5511,25-Aug-97,1160.4,1160.4,1119.65,1144.3
5512,22-Aug-97,1181.55,1181.6,1158.45,1160.45
5513,21-Aug-97,1198.8,1212.15,1179.3,1181.5
5514,20-Aug-97,1179.55,1200.25,1178.65,1198.2
5515,19-Aug-97,1201.5,1203.15,1177.1,1180.7
5516,18-Aug-97,1228.4,1228.45,1198.75,1201.45
5517,14-Aug-97,1244.4,1245.8,1226.1,1227.9
5518,13-Aug-97,1248.3,1251.4,1240.9,1244.6
5519,12-Aug-97,1258.5,1272,1243.95,1248.45
5520,11-Aug-97,1256.85,1260,1247.65,1258.35
5521,8-Aug-97,1269.55,1269.55,1253.2,1256.95
5522,7-Aug-97,1292.8,1292.8,1259.05,1269.65
5523,6-Aug-97,1273.65,1297.1,1273.65,1292.95
5524,5-Aug-97,1250.5,1275.45,1249.7,1273.15
5525,4-Aug-97,1238.75,1254.5,1237.95,1250.4
5526,1-Aug-97,1224.4,1233.85,1219.9,1232.4
5527,31-Jul-97,1203.95,1224.7,1201.85,1221.5
5528,30-Jul-97,1196.65,1205.8,1195.85,1197.9
5529,29-Jul-97,1182.6,1190.55,1180.1,1190.3
5530,28-Jul-97,1185.25,1187.85,1176.95,1181.65
5531,25-Jul-97,1194.75,1195.95,1179,1185.05
5532,24-Jul-97,1204.35,1213.4,1195.2,1199.95
5533,23-Jul-97,1184.05,1201.75,1183.9,1200.7
5534,22-Jul-97,1169.55,1176.4,1165.15,1173.25
5535,21-Jul-97,1171.35,1171.35,1153.75,1165
5536,17-Jul-97,1182.85,1185.3,1173,1181.4
5537,16-Jul-97,1195.55,1207,1179.25,1183
5538,15-Jul-97,1190.5,1195.4,1180.75,1183.35
5539,14-Jul-97,1212.4,1215.6,1176.6,1187.05
5540,11-Jul-97,1233.5,1233.5,1217,1221.1
5541,10-Jul-97,1248.1,1252.7,1234.95,1239.15
5542,9-Jul-97,1211.6,1239.55,1211.6,1236.55
5543,8-Jul-97,1205.1,1205.8,1193.35,1198.25
5544,7-Jul-97,1217.4,1226.6,1208.25,1209.7
5545,4-Jul-97,1218.95,1222.6,1209.45,1216.1
5546,3-Jul-97,1222.45,1235.45,1209.45,1214.9
5547,2-Jul-97,1214.7,1237.05,1212.6,1222.95
5548,1-Jul-97,1201.3,1206.1,1193.55,1200.45
5549,30-Jun-97,1167.45,1194.75,1164.5,1192.4
5550,27-Jun-97,1168.3,1174.75,1165.95,1169.65
5551,26-Jun-97,1164,1177.6,1160.25,1168.2
5552,25-Jun-97,1166.1,1175,1158.9,1161.9
5553,24-Jun-97,1154.95,1161.95,1146.85,1155.3
5554,23-Jun-97,1159.6,1163,1149.3,1153.7
5555,20-Jun-97,1162.7,1174.15,1154.3,1158.35
5556,19-Jun-97,1151.95,1161.7,1145.35,1159.8
5557,18-Jun-97,1162.2,1171,1156.05,1159.8
